#OTU ID	M04754
OTU1116	1087
OTU4944	2739
OTU4051	250
OTU4674	194
OTU820	1561
OTU2126	2282
OTU1552	719
OTU1076	1454
OTU1510	5599
OTU2144	454
OTU310	3342
OTU694	1615
OTU5201	274
OTU144	4600
OTU508	3118
OTU2433	1810
OTU2723	152
OTU10470	52
OTU27872	161
OTU4682	1646
OTU6389	257
OTU4410	97
OTU379	2359
OTU1713	945
OTU483	3547
OTU719	2248
OTU221	3165
OTU2221	648
OTU6865	146
OTU559	1958
OTU1300	2048
OTU984	1317
OTU2702	273
OTU5117	3038
OTU815	826
OTU1158	1416
OTU21642	925
OTU5960	337
OTU857	1142
OTU580	2860
OTU109	5451
OTU1917	463
OTU1201	1961
OTU3619	235
OTU3407	939
OTU1716	272
OTU1074	1052
OTU7648	57
OTU354	1563
OTU4210	630
OTU1636	518
OTU22118	51
OTU329	2090
OTU2685	716
OTU1750	337
OTU1666	528
OTU3505	516
OTU1844	243
OTU2899	461
OTU10770	1423
OTU3035	366
OTU20379	833
OTU11627	162
OTU356	4400
OTU25995	9
OTU1266	1069
OTU1986	791
OTU922	1207
OTU26898	5576
OTU1678	891
OTU1342	977
OTU4247	793
OTU1739	351
OTU6288	215
OTU1984	889
OTU12711	12
OTU4648	72
OTU2208	241
OTU980	973
OTU19209	346
OTU2919	119
OTU2876	114
OTU11979	233
OTU264	5765
OTU15648	45
OTU5322	226
OTU943	2201
OTU13216	10
OTU1977	234
OTU5096	308
OTU270	2451
OTU21053	236
OTU881	737
OTU6040	71
OTU4100	423
OTU142	7510
OTU1247	728
OTU19294	119
OTU558	2347
OTU180	4734
OTU1285	1986
OTU19815	4470
OTU2955	252
OTU861	2815
OTU4628	303
OTU22572	11
OTU2298	1127
OTU2185	1823
OTU3069	189
OTU1189	2119
OTU12225	25
OTU597	6010
OTU1418	3341
OTU1462	927
OTU12208	171
OTU2479	1890
OTU15748	81
OTU1058	1092
OTU1141	1481
OTU791	1811
OTU15977	25
OTU859	1290
OTU5402	143
OTU4556	100
OTU1554	2558
OTU648	3008
OTU153	3403
OTU91	11125
OTU3196	328
OTU3955	868
OTU15438	762
OTU2726	623
OTU18086	1303
OTU4017	710
OTU512	1452
OTU77	10897
OTU1922	2056
OTU1771	971
OTU15626	469
OTU3954	1573
OTU1270	3054
OTU6726	172
OTU18218	205
OTU26840	16
OTU4738	148
OTU10887	434
OTU5834	3639
OTU8774	525
OTU4671	101
OTU4863	79
OTU1669	380
OTU2718	797
OTU5632	444
OTU7728	387
OTU108	4993
OTU488	1947
OTU2857	631
OTU1705	1329
OTU473	5332
OTU116	4216
OTU1808	2337
OTU26525	187
OTU4598	245
OTU8258	75
OTU9378	154
OTU6981	80
OTU13406	2567
OTU11037	354
OTU9341	477
OTU432	1514
OTU18404	114
OTU6132	34
OTU5174	194
OTU4187	122
OTU1803	2895
OTU838	1863
OTU9543	152
OTU13115	20
OTU4421	63
OTU8408	187
OTU22989	2694
OTU704	844
OTU606	3103
OTU510	2032
OTU5109	119
OTU152	5683
OTU8947	60
OTU3928	584
OTU8288	112
OTU16930	1127
OTU333	1746
OTU1217	537
OTU2818	176
OTU2792	1017
OTU14708	111
OTU1801	1028
OTU7145	4559
OTU2868	302
OTU1243	1788
OTU26249	468
OTU26361	1642
OTU38	7315
OTU1251	466
OTU25210	4
OTU2054	425
OTU3218	228
OTU5410	284
OTU2073	518
OTU1950	3190
OTU1355	594
OTU13288	603
OTU24117	2
OTU3373	384
OTU749	1298
OTU1832	497
OTU4026	354
OTU18836	2022
OTU347	2699
OTU1960	243
OTU2652	291
OTU10913	11
OTU15535	3397
OTU7778	41
OTU3329	321
OTU2286	3138
OTU84	5119
OTU3125	120
OTU1374	1477
OTU2772	710
OTU10338	32
OTU26149	125
OTU2074	398
OTU2124	701
OTU12203	104
OTU2098	621
