#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
OTU7286	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	9	1	0	0	0	2	0	0	0	1	2	0	1
OTU1100	10	0	1	0	13	13	119	0	104	4	2	1	205	7	2	26	5	51	9	0	1	12	0	36	0	22	0	2	11	1
OTU4136	12	0	6	2	18	5	3	0	13	11	8	13	0	6	14	2	2	0	5	0	2	0	5	7	0	2	4	0	1	2
OTU15285	1866	2013	1241	886	1950	1235	1031	1676	1670	4934	2194	2281	26	2825	1882	3546	2264	1302	1614	1341	1783	2644	1970	2921	2815	1616	3441	1846	1815	1336
OTU155	206	59	227	160	341	218	118	492	46	189	138	22	0	173	199	181	257	80	211	329	137	176	87	135	74	24	272	212	91	274
OTU1609	34	9	2	19	6	0	3	3	9	15	8	2	27	11	29	23	8	74	1	2	23	12	26	13	7	10	12	11	6	1
OTU3497	12	5	1	5	5	7	4	1	15	9	10	9	2	5	9	11	11	10	10	5	0	1	8	5	5	14	9	11	13	14
OTU83	589	116	100	536	93	812	716	124	2884	148	322	236	4016	41	159	1182	587	712	985	21	195	57	439	178	84	930	39	467	64	12
OTU3539	39	0	2	0	43	0	23	0	0	32	0	5	0	0	0	0	0	12	2	3	0	12	1	4	0	0	2	1	2	5
OTU130	707	674	349	722	598	662	880	364	1256	757	752	773	158	639	775	1464	619	576	735	302	662	361	627	610	337	668	647	787	1095	308
OTU2837	27	15	16	5	5	2	2	16	0	60	5	100	44	11	21	11	4	0	17	11	1	27	3	25	24	4	21	4	5	8
OTU149	214	78	607	171	315	107	66	317	7	301	493	237	0	166	241	41	243	30	208	574	187	267	220	117	551	8	232	68	36	450
OTU202	429	402	501	249	481	225	193	270	497	459	493	429	51	249	408	158	573	80	366	536	648	260	413	198	593	122	161	105	88	230
OTU18530	156	176	218	14	86	116	52	183	49	320	20	184	39	326	132	43	168	75	80	88	420	36	299	61	146	101	38	23	73	56
OTU5409	12	0	0	4	6	1	3	6	2	2	2	2	0	6	4	1	10	9	5	1	10	2	3	1	7	0	4	2	0	10
OTU975	195	39	30	241	3	23	31	0	99	4	0	23	56	1	4	8	2	0	4	0	4	1	2	7	4	4	1	0	1	4
OTU6421	2231	2572	1330	1547	2617	1783	2965	1712	4431	1352	8035	2965	1722	2948	2338	1701	2692	1170	2829	2004	1974	1058	1723	2033	1312	2215	1251	692	1340	1043
OTU9765	13	0	123	4	70	27	3	38	0	27	9	1	0	1	96	19	57	99	10	108	4	144	7	85	81	2	91	16	7	70
OTU839	103	58	66	264	34	61	229	13	260	101	26	55	72	106	104	20	53	277	110	21	10	18	32	79	8	66	61	54	107	9
OTU212	395	383	125	36	619	127	363	178	336	755	848	387	110	433	455	918	356	540	142	101	389	139	679	515	282	1231	113	151	723	99
OTU1028	68	52	94	20	205	38	53	46	99	109	328	120	1	65	128	24	172	89	71	113	173	189	175	142	194	101	28	41	41	126
OTU676	78	110	17	13	41	18	63	26	60	93	219	131	7	24	113	59	28	46	17	4	19	20	130	100	31	172	8	12	76	17
OTU28	1383	305	181	606	135	1084	1396	82	2629	169	273	242	16244	96	150	1380	940	676	1468	9	224	80	602	371	115	1301	5	456	86	11
OTU3	1422	2757	1087	4056	360	1775	1701	268	3242	798	1419	1170	5280	1553	604	2121	793	3652	1193	58	577	268	1037	1184	185	1964	302	822	1195	250
OTU25207	42	174	49	8	119	16	34	91	5	123	15	80	0	88	37	44	88	117	20	26	222	77	94	157	136	133	79	153	88	65
OTU23915	20	32	18	11	15	11	16	23	27	25	6	33	17	16	30	13	18	151	29	6	19	10	11	13	29	23	32	20	42	9
OTU3273	70	37	19	13	22	87	24	28	260	14	107	112	3	32	90	389	111	206	40	38	17	34	13	64	9	100	25	71	17	45
OTU11631	3385	1548	943	1236	4987	1502	2655	870	6247	2188	7198	3001	209	1538	2933	3719	3686	593	7363	650	2673	721	5145	1792	1213	3964	555	458	2058	682
OTU21239	518	860	420	297	895	544	430	865	782	646	453	1209	10	929	704	2204	884	426	635	1087	219	785	254	980	286	314	1510	988	697	574
OTU864	276	0	2	4	45	5	49	0	10	3	110	1	0	0	31	71	6	0	45	3	12	4	26	1	1	8	0	0	4	0
OTU2305	61	55	30	30	53	44	32	43	102	37	14	31	40	34	37	130	28	158	35	16	24	16	13	43	46	80	41	52	132	23
OTU113	510	1499	216	125	415	532	110	540	370	1023	436	1655	80	744	823	1419	558	996	467	571	243	874	248	1120	768	1124	1853	748	449	685
OTU4	7245	2481	2769	1959	6250	5064	5522	2327	10119	3276	22240	5250	2047	2956	3855	6094	5503	2259	9849	2380	5140	1346	11638	2889	4029	8263	835	2648	2496	1825
OTU27241	120	72	186	40	146	109	82	138	116	136	205	83	0	319	192	95	234	6	129	79	233	13	159	36	30	46	47	40	17	85
OTU55	367	190	128	78	837	142	335	89	1039	136	848	125	148	44	872	1538	706	287	636	270	303	267	472	551	134	137	144	116	146	103
OTU355	939	612	592	378	460	192	893	149	1096	571	154	672	97	2505	320	249	246	1168	306	173	44	605	235	1524	264	832	279	336	481	286
OTU1672	83	109	35	180	40	11	212	25	169	108	81	125	858	38	33	106	102	115	81	7	24	9	92	21	24	175	49	38	105	9
OTU402	291	28	245	28	93	257	58	200	97	34	83	129	5	38	141	103	158	16	224	99	56	15	166	27	15	18	39	43	113	76
OTU341	371	62	113	254	71	177	104	108	1047	147	116	117	43	257	121	78	437	132	369	51	61	20	206	101	41	16	23	88	342	61
OTU210	385	239	538	211	560	257	303	525	404	461	737	281	17	425	483	121	689	102	565	1035	507	241	343	142	321	61	269	155	237	553
OTU1144	21	10	146	6	122	5	24	52	0	58	21	16	0	19	80	4	53	12	13	75	14	82	6	39	31	5	21	46	25	94
OTU24107	156	159	158	39	177	78	110	93	77	197	315	132	23	105	290	260	126	148	93	64	115	103	630	154	178	271	145	213	204	59
OTU2797	1781	388	1795	677	1081	1241	1018	1770	863	1888	944	123	41	832	1769	676	1952	350	1095	2402	2142	499	741	240	875	479	1729	1084	1298	1840
OTU178	329	599	1260	109	441	189	338	321	700	253	335	413	2	371	701	549	441	459	758	209	115	546	43	432	197	211	657	168	431	255
OTU86	2609	0	0	29	0	57	0	75	4	1	2	124	447	106	0	1388	2	0	2	0	0	1	0	1	17	23	1	43	12	5
OTU20924	7	10	0	0	4	21	9	9	16	5	4	9	0	1	8	26	8	1	6	0	4	1	9	4	4	3	2	3	7	4
OTU24183	245	64	161	257	391	140	421	52	646	168	783	581	387	38	425	918	700	948	143	36	16	386	227	1421	68	1791	84	43	57	38
OTU4211	3	5	0	0	10	0	3	0	0	0	0	2	0	0	6	1	5	0	0	0	2	2	0	0	8	1	0	0	4	0
OTU23252	563	123	551	249	321	547	502	355	571	420	1721	230	13	221	450	218	517	56	497	396	535	192	960	116	327	217	93	367	609	343
OTU11425	3	1	0	5	1	0	0	3	0	1	1	0	0	1	0	4	5	0	1	0	0	1	0	0	2	1	0	5	2	1
OTU896	509	72	2	5	4	1	2	5	4	26	0	4	16	14	5	26	10	108	4	2	0	3	1	25	9	2	23	19	11	4
